locus_tag	ftype	length_bp	gene	EC_number	COG	product
NJOOCDGH_00001	CDS	1545	dnaA		COG0593	Chromosomal replication initiator protein DnaA
NJOOCDGH_00002	CDS	1104	dnaN		COG0592	Beta sliding clamp
NJOOCDGH_00003	CDS	1110	recF		COG1195	DNA replication and repair protein RecF
NJOOCDGH_00004	CDS	2421	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
NJOOCDGH_00005	CDS	774				hypothetical protein
NJOOCDGH_00006	CDS	537	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
NJOOCDGH_00007	CDS	1707				hypothetical protein
NJOOCDGH_00008	CDS	2058	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
NJOOCDGH_00009	CDS	948	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
NJOOCDGH_00010	CDS	552	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
NJOOCDGH_00011	CDS	888	lpxL_1	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
NJOOCDGH_00012	CDS	267				hypothetical protein
NJOOCDGH_00013	CDS	654	yhhQ		COG1738	Queuosine precursor transporter
NJOOCDGH_00014	CDS	273				hypothetical protein
NJOOCDGH_00015	CDS	318				hypothetical protein
NJOOCDGH_00016	CDS	1374	trkA		COG0569	Trk system potassium uptake protein TrkA
NJOOCDGH_00017	CDS	1305	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
NJOOCDGH_00018	CDS	945	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
NJOOCDGH_00019	CDS	507	def_1	3.5.1.88	COG0242	Peptide deformylase
NJOOCDGH_00020	CDS	1026				hypothetical protein
NJOOCDGH_00021	CDS	1089				hypothetical protein
NJOOCDGH_00022	CDS	558	tsaC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
NJOOCDGH_00023	CDS	978	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
NJOOCDGH_00024	CDS	918	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
NJOOCDGH_00025	CDS	825	aroE_1	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
NJOOCDGH_00026	CDS	987				hypothetical protein
NJOOCDGH_00027	CDS	1287	prsA	5.2.1.8		Foldase protein PrsA
NJOOCDGH_00028	CDS	384				hypothetical protein
NJOOCDGH_00029	CDS	1554			COG0659	putative sulfate transporter
NJOOCDGH_00030	CDS	924				hypothetical protein
NJOOCDGH_00031	CDS	1512	betC	3.1.6.6	COG3119	Choline-sulfatase
NJOOCDGH_00032	CDS	900	gcvA_1			Glycine cleavage system transcriptional activator
NJOOCDGH_00033	CDS	378				hypothetical protein
NJOOCDGH_00034	CDS	366				hypothetical protein
NJOOCDGH_00035	CDS	624			COG2197	Putative transcriptional regulator
NJOOCDGH_00036	CDS	807	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
NJOOCDGH_00037	CDS	1209	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
NJOOCDGH_00038	CDS	888	trpI_1			HTH-type transcriptional regulator TrpI
NJOOCDGH_00039	CDS	216			COG3360	Dodecin
NJOOCDGH_00040	CDS	222				hypothetical protein
NJOOCDGH_00041	CDS	1689				hypothetical protein
NJOOCDGH_00042	CDS	10608				hypothetical protein
NJOOCDGH_00043	CDS	702				hypothetical protein
NJOOCDGH_00044	CDS	279				hypothetical protein
NJOOCDGH_00045	CDS	396				hypothetical protein
NJOOCDGH_00046	CDS	1254				hypothetical protein
NJOOCDGH_00047	CDS	1374				hypothetical protein
NJOOCDGH_00048	CDS	687			COG1462	Putative lipoprotein/NMB1164
NJOOCDGH_00049	CDS	354				hypothetical protein
NJOOCDGH_00050	CDS	666			COG4380	Putative lipoprotein/NMB1162
NJOOCDGH_00051	CDS	384				hypothetical protein
NJOOCDGH_00052	CDS	1662				putative protein
NJOOCDGH_00053	CDS	141				hypothetical protein
NJOOCDGH_00054	CDS	138				hypothetical protein
NJOOCDGH_00055	CDS	1833	asnO_1	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 3
NJOOCDGH_00056	CDS	429				hypothetical protein
NJOOCDGH_00057	CDS	171				hypothetical protein
NJOOCDGH_00058	CDS	135				hypothetical protein
NJOOCDGH_00059	CDS	255				hypothetical protein
NJOOCDGH_00060	CDS	549	kptA	2.7.1.-	COG1859	putative RNA 2'-phosphotransferase
NJOOCDGH_00061	CDS	507				hypothetical protein
NJOOCDGH_00062	CDS	921	dmlR_1			HTH-type transcriptional regulator DmlR
NJOOCDGH_00063	CDS	888				hypothetical protein
NJOOCDGH_00064	CDS	705				hypothetical protein
NJOOCDGH_00065	CDS	426	osmC	1.11.1.15	COG1764	Peroxiredoxin OsmC
NJOOCDGH_00066	CDS	234				hypothetical protein
NJOOCDGH_00067	CDS	438				hypothetical protein
NJOOCDGH_00068	CDS	417				hypothetical protein
NJOOCDGH_00069	CDS	1128				hypothetical protein
NJOOCDGH_00070	CDS	984				hypothetical protein
NJOOCDGH_00071	CDS	666		3.1.3.5	COG0546	5'-nucleotidase
NJOOCDGH_00072	CDS	543	yrdA_1		COG0663	Protein YrdA
NJOOCDGH_00073	CDS	2046	prlC	3.4.24.70	COG0339	Oligopeptidase A
NJOOCDGH_00074	CDS	276				hypothetical protein
NJOOCDGH_00075	CDS	1059				hypothetical protein
NJOOCDGH_00076	CDS	915				hypothetical protein
NJOOCDGH_00077	CDS	1713				hypothetical protein
NJOOCDGH_00078	CDS	1200				hypothetical protein
NJOOCDGH_00079	CDS	720	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
NJOOCDGH_00080	CDS	3099	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
NJOOCDGH_00081	CDS	729	prpC_1	3.1.3.16	COG0631	Protein phosphatase PrpC
NJOOCDGH_00082	CDS	681				hypothetical protein
NJOOCDGH_00083	CDS	3531				hypothetical protein
NJOOCDGH_00084	CDS	1350				hypothetical protein
NJOOCDGH_00085	CDS	1335				hypothetical protein
NJOOCDGH_00086	CDS	465				hypothetical protein
NJOOCDGH_00087	CDS	1494				hypothetical protein
NJOOCDGH_00088	CDS	1035				hypothetical protein
NJOOCDGH_00089	CDS	519				hypothetical protein
NJOOCDGH_00090	CDS	1497				hypothetical protein
NJOOCDGH_00091	CDS	489	hcp1_1		COG3157	Protein hcp1
NJOOCDGH_00092	CDS	786				hypothetical protein
NJOOCDGH_00093	CDS	510				hypothetical protein
NJOOCDGH_00094	CDS	1860				hypothetical protein
NJOOCDGH_00095	CDS	1047				hypothetical protein
NJOOCDGH_00096	CDS	2709	clpV1_1		COG0542	Protein ClpV1
NJOOCDGH_00097	CDS	1941	vgrG1_1	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
NJOOCDGH_00098	CDS	285				hypothetical protein
NJOOCDGH_00099	CDS	1293				hypothetical protein
NJOOCDGH_00100	CDS	435				hypothetical protein
NJOOCDGH_00101	CDS	2226				hypothetical protein
NJOOCDGH_00102	CDS	450				hypothetical protein
NJOOCDGH_00103	CDS	1113				hypothetical protein
NJOOCDGH_00104	CDS	1038				hypothetical protein
NJOOCDGH_00105	CDS	1161				hypothetical protein
NJOOCDGH_00106	CDS	921				hypothetical protein
NJOOCDGH_00107	CDS	1248				hypothetical protein
NJOOCDGH_00108	CDS	729	cynT_1	4.2.1.1	COG0288	Carbonic anhydrase 1
NJOOCDGH_00109	CDS	1572				hypothetical protein
NJOOCDGH_00110	CDS	639				hypothetical protein
NJOOCDGH_00111	CDS	1101				hypothetical protein
NJOOCDGH_00112	CDS	1593	ctaD	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
NJOOCDGH_00113	CDS	555	ctaG		COG3175	Cytochrome c oxidase assembly protein CtaG
NJOOCDGH_00114	CDS	888	ctaE	1.9.3.1	COG1845	Cytochrome c oxidase subunit 3
NJOOCDGH_00115	CDS	210				hypothetical protein
NJOOCDGH_00116	CDS	795				hypothetical protein
NJOOCDGH_00117	CDS	579				hypothetical protein
NJOOCDGH_00118	CDS	1074	ctaA	1.3.-.-		Heme A synthase
NJOOCDGH_00119	CDS	915	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
NJOOCDGH_00120	CDS	636				hypothetical protein
NJOOCDGH_00121	CDS	453	elaA		COG2153	Protein ElaA
NJOOCDGH_00122	CDS	474			COG1733	putative HTH-type transcriptional regulator
NJOOCDGH_00123	CDS	729				hypothetical protein
NJOOCDGH_00124	CDS	588	nsaD	5.99.1.4		2-hydroxychromene-2-carboxylate isomerase
NJOOCDGH_00125	CDS	1335	dctA		COG1301	Aerobic C4-dicarboxylate transport protein
NJOOCDGH_00126	CDS	687	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
NJOOCDGH_00127	CDS	735				hypothetical protein
NJOOCDGH_00128	CDS	411				hypothetical protein
NJOOCDGH_00129	CDS	909	dmlR_2			HTH-type transcriptional regulator DmlR
NJOOCDGH_00130	CDS	282				hypothetical protein
NJOOCDGH_00131	CDS	228				hypothetical protein
NJOOCDGH_00132	CDS	621				hypothetical protein
NJOOCDGH_00133	CDS	501				hypothetical protein
NJOOCDGH_00134	CDS	342				hypothetical protein
NJOOCDGH_00135	CDS	1428	bauD		COG1113	putative GABA permease
NJOOCDGH_00136	CDS	1494	bauC	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
NJOOCDGH_00137	CDS	288	bauB			Beta-alanine degradation protein BauB
NJOOCDGH_00138	CDS	1347	bauA_1	2.6.1.18	COG0161	Beta-alanine--pyruvate aminotransferase
NJOOCDGH_00139	CDS	918				hypothetical protein
NJOOCDGH_00140	CDS	1299	guaD_1	3.5.4.3	COG0402	Guanine deaminase
NJOOCDGH_00141	CDS	885				hypothetical protein
NJOOCDGH_00142	CDS	1572	mglA	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
NJOOCDGH_00143	CDS	1098				hypothetical protein
NJOOCDGH_00144	CDS	927				hypothetical protein
NJOOCDGH_00145	CDS	564	ahpC_1	1.11.1.15		Alkyl hydroperoxide reductase C
NJOOCDGH_00146	CDS	1566	ahpF	1.8.1.-	COG3634	Alkyl hydroperoxide reductase subunit F
NJOOCDGH_00147	CDS	1074	ppk2	2.7.4.1	COG2326	Polyphosphate:ADP/GDP phosphotransferase
NJOOCDGH_00148	CDS	1350		3.5.4.32	COG0402	8-oxoguanine deaminase
NJOOCDGH_00149	CDS	1053	rihB	3.2.2.8	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihB
NJOOCDGH_00150	CDS	627				hypothetical protein
NJOOCDGH_00151	CDS	519				hypothetical protein
NJOOCDGH_00152	CDS	1098				Purine-binding protein
NJOOCDGH_00153	CDS	963	vldW_1	1.14.11.52		Validamycin A dioxygenase
NJOOCDGH_00154	CDS	951		3.5.4.2	COG1816	Adenine deaminase
NJOOCDGH_00155	CDS	633				hypothetical protein
NJOOCDGH_00156	CDS	996				hypothetical protein
NJOOCDGH_00157	CDS	2388	cntO_1			Metal-pseudopaline receptor CntO
NJOOCDGH_00158	CDS	918	gbpR_1			HTH-type transcriptional regulator GbpR
NJOOCDGH_00159	CDS	720	pcaH	1.13.11.3	COG3485	Protocatechuate 3,4-dioxygenase beta chain
NJOOCDGH_00160	CDS	606	pcaG	1.13.11.3	COG3485	Protocatechuate 3,4-dioxygenase alpha chain
NJOOCDGH_00161	CDS	840	pcaR_1		COG1414	Pca regulon regulatory protein
NJOOCDGH_00162	CDS	1104	mdtA_1			Multidrug resistance protein MdtA
NJOOCDGH_00163	CDS	1071	mdtE			Multidrug resistance protein MdtE
NJOOCDGH_00164	CDS	3048	swrC		COG0841	Swarming motility protein SwrC
NJOOCDGH_00165	CDS	939	dmlR_3			HTH-type transcriptional regulator DmlR
NJOOCDGH_00166	CDS	186				hypothetical protein
NJOOCDGH_00167	CDS	1335	oprD_1	3.4.21.-		Porin D
NJOOCDGH_00168	CDS	798	nimR_1			HTH-type transcriptional regulator NimR
NJOOCDGH_00169	CDS	1617	ywrD	2.3.2.2	COG0405	Glutathione hydrolase-like YwrD proenzyme
NJOOCDGH_00170	CDS	837				hypothetical protein
NJOOCDGH_00171	CDS	1407	xanP_1		COG2233	Xanthine permease XanP
NJOOCDGH_00172	CDS	666	rutR_1		COG1309	HTH-type transcriptional regulator RutR
NJOOCDGH_00173	CDS	591	yigZ		COG1739	IMPACT family member YigZ
NJOOCDGH_00174	CDS	828				hypothetical protein
NJOOCDGH_00175	CDS	381				putative protein
NJOOCDGH_00176	CDS	543				hypothetical protein
NJOOCDGH_00177	CDS	1992				hypothetical protein
NJOOCDGH_00178	CDS	1050	cheB2	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase 2
NJOOCDGH_00179	CDS	603	cheD	3.5.1.44		Chemoreceptor glutamine deamidase CheD
NJOOCDGH_00180	CDS	843	cheR	2.1.1.80		Chemotaxis protein methyltransferase
NJOOCDGH_00181	CDS	2040				hypothetical protein
NJOOCDGH_00182	CDS	486	cheW_1		COG0835	Chemotaxis protein CheW
NJOOCDGH_00183	CDS	1920				hypothetical protein
NJOOCDGH_00184	CDS	366	cheY_1		COG0784	Chemotaxis protein CheY
NJOOCDGH_00185	CDS	1173				hypothetical protein
NJOOCDGH_00186	CDS	933	dmlR_4			HTH-type transcriptional regulator DmlR
NJOOCDGH_00187	CDS	753	bdcA		COG1028	Cyclic-di-GMP-binding biofilm dispersal mediator protein
NJOOCDGH_00188	CDS	1611	atsA	3.1.6.1	COG3119	Arylsulfatase
NJOOCDGH_00189	CDS	840	ssuB_1	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
NJOOCDGH_00190	CDS	1617				hypothetical protein
NJOOCDGH_00191	CDS	1062				hypothetical protein
NJOOCDGH_00192	CDS	816				hypothetical protein
NJOOCDGH_00193	CDS	882				hypothetical protein
NJOOCDGH_00194	CDS	1359	oprD_2	3.4.21.-		Porin D
NJOOCDGH_00195	CDS	726				hypothetical protein
NJOOCDGH_00196	CDS	918				hypothetical protein
NJOOCDGH_00197	CDS	2373	fyuA		COG1629	Pesticin receptor
NJOOCDGH_00198	CDS	903	atsK	1.14.11.-		Alpha-ketoglutarate-dependent sulfate ester dioxygenase
NJOOCDGH_00199	CDS	900	tfdA	1.14.11.-		Alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase
NJOOCDGH_00200	CDS	1119	pntAA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha part 1
