locus_tag	ftype	length_bp	gene	EC_number	COG	product
AMPIKKCB_00001	CDS	1215	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
AMPIKKCB_00002	CDS	1128	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
AMPIKKCB_00003	CDS	846	ephA	3.3.2.10		Epoxide hydrolase A
AMPIKKCB_00004	CDS	336	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
AMPIKKCB_00005	CDS	1005				hypothetical protein
AMPIKKCB_00006	CDS	1008				hypothetical protein
AMPIKKCB_00007	CDS	1005				hypothetical protein
AMPIKKCB_00008	CDS	1932	yheS_1		COG0488	putative ABC transporter ATP-binding protein YheS
AMPIKKCB_00009	CDS	558	dedA_1		COG0586	Protein DedA
AMPIKKCB_00010	CDS	393	cybC		COG3783	Soluble cytochrome b562
AMPIKKCB_00011	CDS	2469	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
AMPIKKCB_00012	CDS	1083	recF		COG1195	DNA replication and repair protein RecF
AMPIKKCB_00013	CDS	1149	dnaN		COG0592	Beta sliding clamp
AMPIKKCB_00014	CDS	1398	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
AMPIKKCB_00015	CDS	135	rpmH		COG0230	50S ribosomal protein L34
AMPIKKCB_00016	CDS	393	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
AMPIKKCB_00017	CDS	321	yidD			Putative membrane protein insertion efficiency factor
AMPIKKCB_00018	CDS	1761	yidC			Membrane protein insertase YidC
AMPIKKCB_00019	CDS	1356	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
AMPIKKCB_00020	CDS	264	rcnR		COG1937	Transcriptional repressor RcnR
AMPIKKCB_00021	CDS	975	czcD_1		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
AMPIKKCB_00022	CDS	699	dsbC_1		COG1651	putative thiol:disulfide interchange protein DsbC
AMPIKKCB_00023	CDS	252				hypothetical protein
AMPIKKCB_00024	CDS	528	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
